ZCTA,population,median_income,pct_bachelors,unemployment,rent_burden,pct_seniors,score_income,score_education,score_employment,score_housing,score_seniors,overall_score,cluster,cluster_name,z_score,income_quintile
02338,7734,106851.0,32.9,1.5,26.7,17.4,37.77749267835181,31.709956709956703,93.27354260089686,73.3,72.89719626168225,57.976290493424735,1,Moderate-High,0.13891701973672674,Middle 20%
02339,14800,174821.0,56.5,6.8,68.5,15.6,67.84712575539059,57.25108225108224,69.50672645739911,31.5,75.70093457943925,59.045990751041955,0,High Performing,0.23596698968252247,Highest 20%
02341,10466,112457.0,39.0,4.9,66.0,19.7,40.25756275382451,38.31168831168831,78.0269058295964,34.0,69.31464174454828,48.97915810675232,1,Moderate-High,-0.6773597096621332,Middle 20%
02343,11267,107198.0,36.5,3.6,36.6,18.1,37.931003972713036,35.6060606060606,83.85650224215246,63.4,71.80685358255452,55.01625195137935,1,Moderate-High,-0.1296363899668521,Middle 20%
02346,24360,91914.0,30.3,4.8,52.4,20.9,31.169428690243407,28.89610389610389,78.47533632286995,47.6,67.44548286604362,46.975998697765185,1,Moderate-High,-0.8590989950876451,Low 20%
02347,11732,126182.0,39.0,4.0,55.7,15.9,46.32944320082109,38.31168831168831,82.0627802690583,44.3,75.23364485981308,53.956203417920314,1,Moderate-High,-0.22581069447945143,High 20%
02351,17008,119787.0,39.8,5.2,35.8,12.5,43.50032294883252,39.17748917748917,76.68161434977578,64.2,80.52959501557633,56.89873540309323,1,Moderate-High,0.04115440970935443,High 20%
02356,12547,124719.0,54.5,3.9,39.1,23.3,45.68221834880244,55.086580086580085,82.51121076233184,60.9,63.70716510903427,60.24515827221543,1,Moderate-High,0.3447630482616769,High 20%
02359,18335,141332.0,45.7,3.0,38.0,18.8,53.031737464718944,45.56277056277056,86.54708520179372,62.0,70.7165109034268,61.4296951375738,1,Moderate-High,0.45223172125124084,Highest 20%
02360,62405,111975.0,45.2,6.0,46.8,24.2,40.04432804523053,45.02164502164502,73.09417040358744,53.2,62.30529595015576,52.755856942451956,1,Moderate-High,-0.3347137152455096,Middle 20%
02364,13782,115863.0,48.7,2.2,30.7,22.0,41.76436237513382,48.80952380952381,90.13452914798206,69.3,65.73208722741433,61.103586098502255,1,Moderate-High,0.42264504758674676,High 20%
02367,2934,119750.0,35.6,5.2,34.0,22.2,43.48395430937613,34.63203463203463,76.68161434977578,66.0,65.42056074766354,54.607376180074205,1,Moderate-High,-0.1667321848254228,High 20%
02368,34736,103321.0,34.9,7.9,50.1,17.5,36.21583599508056,33.87445887445887,64.57399103139014,49.9,72.74143302180686,47.691515225843574,3,Needs Improvement,-0.7941828122118845,Middle 20%
02370,17709,101475.0,34.3,3.9,51.6,15.2,35.39917360490528,33.225108225108215,82.51121076233184,48.4,76.32398753894081,50.97071136386382,1,Moderate-High,-0.4966734077081092,Middle 20%
02375,11205,117717.0,49.6,5.1,65.5,18.3,42.58456393059697,49.78354978354978,77.13004484304933,34.5,71.49532710280374,52.56757010742693,1,Moderate-High,-0.35179628725598255,High 20%
02379,7682,124483.0,42.6,4.6,40.5,19.2,45.577812972810364,42.2077922077922,79.37219730941705,59.5,70.09345794392523,56.73018655142658,1,Moderate-High,0.0258625923313875,High 20%
02382,15215,107794.0,29.2,4.6,48.0,14.6,38.194671786659114,27.7056277056277,79.37219730941705,52.0,77.25856697819314,50.47537103277443,1,Moderate-High,-0.5416138140535733,Middle 20%
02420,16287,233068.0,85.3,3.8,37.6,19.2,93.61534582068819,88.41991341991343,82.95964125560538,62.4,70.09345794392523,81.59008885566399,0,High Performing,2.281310092041159,Highest 20%
02421,17798,212843.0,84.7,2.2,46.7,22.7,84.6678935772998,87.77056277056278,90.13452914798206,53.29999999999999,64.64174454828661,78.26069437139071,0,High Performing,1.979246376214661,Highest 20%
02445,22568,145878.0,85.7,3.6,30.8,14.7,55.042868139549284,88.85281385281387,83.85650224215246,69.2,77.10280373831775,74.29550132035307,0,High Performing,1.6194989949345255,Highest 20%
02446,31109,127519.0,84.5,3.9,37.8,15.0,46.920926199555836,87.55411255411255,82.51121076233184,62.2,76.63551401869158,70.22455324275262,0,High Performing,1.2501568490682815,High 20%
02451,18153,119509.0,54.7,3.9,39.4,17.5,43.377336955079144,55.3030303030303,82.51121076233184,60.6,72.74143302180686,60.56647726917443,1,Moderate-High,0.37391513902338924,High 20%
02452,16173,112902.0,54.3,2.8,41.0,15.7,40.4544288229621,54.87012987012986,87.4439461883408,59.0,75.54517133956385,60.67444604489754,1,Moderate-High,0.38371074892849805,Middle 20%
02453,30314,114029.0,58.5,3.7,31.4,13.9,40.95300873289035,59.41558441558441,83.40807174887892,68.6,78.34890965732087,63.32865360262656,1,Moderate-High,0.624517238291503,Middle 20%
02458,13308,151782.0,76.1,4.0,28.9,16.0,57.65477212199502,78.46320346320346,82.0627802690583,71.1,75.0778816199377,72.16983811210505,0,High Performing,1.4266453903790952,Highest 20%
02459,18604,214941.0,84.3,3.4,33.4,22.7,85.59603967404288,87.33766233766234,84.75336322869957,66.6,64.64174454828661,79.9682726034949,0,High Performing,2.1341686686285675,Highest 20%
02460,10033,154329.0,77.8,2.5,31.4,21.1,58.781553870519645,80.3030303030303,88.78923766816143,68.6,67.13395638629284,72.96238921564905,0,High Performing,1.498550636948622,Highest 20%
02461,6717,207292.0,88.0,2.7,47.8,16.5,82.21215526318117,91.34199134199135,87.89237668161435,52.2,74.29906542056075,78.83691852967208,0,High Performing,2.0315250747052236,Highest 20%
02462,1459,210682.0,67.7,1.2,66.4,26.0,83.71187655391475,69.37229437229438,94.61883408071749,33.599999999999994,59.50155763239876,69.86496531093566,0,High Performing,1.2175327586025628,Highest 20%
02464,3730,125846.0,71.8,3.4,36.4,15.2,46.180798258730675,73.8095238095238,84.75336322869957,63.6,76.32398753894081,67.30065191669762,0,High Performing,0.9848820360564556,High 20%
02465,11297,174518.0,78.2,3.3,32.3,18.6,67.71307987011264,80.73593073593074,85.20179372197309,67.7,71.02803738317756,74.79541513422323,0,High Performing,1.6648543365511195,Highest 20%
02466,8553,170852.0,77.8,2.9,36.4,16.5,66.09125737694764,80.3030303030303,86.99551569506727,63.6,74.29906542056075,74.14758160106402,0,High Performing,1.6060787828618743,Highest 20%
02467,22325,173854.0,83.0,3.3,43.8,16.7,67.41932915121969,85.93073593073593,85.20179372197309,56.2,73.98753894080996,74.01662890896453,0,High Performing,1.5941979267602917,Highest 20%
02472,35317,123383.0,67.1,5.5,35.6,17.9,45.09117774572867,68.72294372294371,75.33632286995515,64.4,72.11838006230529,63.612632947389656,0,High Performing,0.6502816397471745,High 20%
02474,28283,139199.0,73.8,3.6,24.1,14.7,52.088107519841444,75.97402597402598,83.85650224215246,75.9,77.10280373831775,71.67711419572912,0,High Performing,1.3819423617172373,High 20%
02476,17732,145150.0,75.5,2.5,29.1,20.3,54.720804098353405,77.81385281385282,88.78923766816143,70.9,68.38006230529595,71.90951799221345,0,High Performing,1.4030275033758313,Highest 20%
02478,26966,177790.0,80.1,4.5,31.1,18.2,69.16059847285018,82.79220779220779,79.82062780269058,68.9,71.65109034267913,74.89743616107052,0,High Performing,1.674110329076935,Highest 20%
02482,10758,240069.0,83.5,4.0,30.0,21.9,96.71255784323267,86.47186147186147,82.0627802690583,70.0,65.88785046728972,82.79744592931416,0,High Performing,2.3908491585948126,Highest 20%
02492,21481,222063.0,84.1,6.2,46.5,17.5,88.74678157156634,87.12121212121211,72.19730941704037,53.5,72.74143302180686,76.38060360878337,0,High Performing,1.8086726564206228,Highest 20%
02494,10578,173750.0,74.6,1.3,55.6,17.6,67.37332000247741,76.83982683982683,94.17040358744394,44.4,72.58566978193146,71.025934406258,0,High Performing,1.3228632145005639,Highest 20%
02532,13180,89411.0,42.5,3.6,49.6,31.6,30.06211235080206,42.099567099567096,83.85650224215246,50.4,50.77881619937694,49.96960193096047,2,Moderate-Low,-0.5875003844091742,Low 20%
02534,1284,171169.0,70.0,0.0,100.0,27.7,66.23149680147937,71.86147186147186,100.0,0.0,56.85358255451713,60.208600421189516,2,Moderate-Low,0.3414462889002735,Highest 20%
02535,2393,144833.0,65.6,10.0,34.8,31.5,54.58056467382168,67.0995670995671,55.15695067264574,65.2,50.93457943925234,59.58488102180158,2,Moderate-Low,0.2848585218747282,Highest 20%
02536,21100,95295.0,45.4,5.6,52.7,28.6,32.66516842002814,45.238095238095234,74.88789237668162,47.3,55.45171339563863,49.45856572943103,2,Moderate-Low,-0.633864819349222,Low 20%
02537,6486,131150.0,51.6,2.1,38.3,25.8,48.527264844586405,51.94805194805194,90.5829596412556,61.7,59.81308411214954,61.55672953762567,1,Moderate-High,0.4637570851270788,High 20%
02538,4556,110882.0,22.4,3.0,62.1,17.8,39.56078958777572,20.346320346320343,86.54708520179372,37.9,72.27414330218069,47.09360885410083,1,Moderate-High,-0.8484286581811927,Middle 20%
02539,5212,89710.0,44.9,8.8,17.7,23.8,30.19438865343609,44.69696969696969,60.53811659192825,82.3,62.92834890965733,53.583297796952834,3,Needs Improvement,-0.25964304989846126,Low 20%
02540,8354,88266.0,58.7,5.1,48.6,43.2,29.555569318976122,59.632034632034625,77.13004484304933,51.4,32.71028037383177,51.27393799374573,2,Moderate-Low,-0.4691627708663866,Low 20%
02542,854,55000.0,36.4,5.4,50.5,0.0,14.838835260703764,35.497835497835496,75.7847533632287,49.5,100.0,47.64111836228056,3,Needs Improvement,-0.7987551342799822,Lowest 20%
02543,810,73611.0,86.3,4.7,0.0,64.2,23.072260907265022,89.5021645021645,78.9237668161435,100.0,0.0,63.92835971558608,2,Moderate-Low,0.6789263681618432,Lowest 20%
02554,14033,125524.0,58.6,5.2,37.2,15.0,46.038346855894034,59.523809523809526,76.68161434977578,62.8,76.63551401869158,61.95041336675021,1,Moderate-High,0.4994745709485643,High 20%
02556,2586,133929.0,68.9,6.7,17.3,30.5,49.756682386459154,70.67099567099568,69.95515695067265,82.7,52.49221183800623,65.88717208829887,0,High Performing,0.8566422100974955,High 20%
02557,1849,95287.0,41.9,22.3,47.6,33.4,32.66162925474027,41.450216450216445,0.0,52.400000000000006,47.975077881619946,33.80546921440118,3,Needs Improvement,-2.054012693040667,Low 20%
02558,1658,58594.0,16.2,16.3,39.0,28.3,16.428805266277948,13.636363636363635,26.905829596412556,61.0,55.91900311526481,30.689358456469385,3,Needs Improvement,-2.3367259608477577,Lowest 20%
02559,2812,88698.0,46.0,0.8,78.6,41.6,29.74668424452093,45.887445887445885,96.41255605381166,21.400000000000006,35.202492211838006,45.99129296493784,2,Moderate-Low,-0.9484377244147006,Low 20%
02562,3698,141324.0,48.2,4.2,37.2,19.7,53.02819829943108,48.268398268398265,81.16591928251121,62.8,69.31464174454828,61.04879717291441,1,Moderate-High,0.4176742498854291,Highest 20%
02563,10315,117558.0,51.6,4.2,40.9,31.0,42.514223020500616,51.94805194805194,81.16591928251121,59.099999999999994,51.71339563862929,56.84009216250331,2,Moderate-Low,0.03583392418432244,High 20%
02568,8829,93615.0,45.5,4.7,43.2,21.9,31.921943709576095,45.34632034632034,78.9237668161435,56.8,65.88785046728972,53.05060442393178,1,Moderate-High,-0.3079723603514436,Low 20%
02571,10538,87302.0,31.8,5.3,26.1,31.8,29.129099901788162,30.519480519480517,76.23318385650224,73.9,50.46728971962617,49.98551084858023,1,Moderate-High,-0.5860570268275773,Low 20%
02575,2417,181304.0,58.3,0.0,29.3,34.2,70.7151768255457,59.19913419913419,100.0,70.7,46.728971962616825,71.29147495243166,0,High Performing,1.3469547315793275,Highest 20%
02576,4498,61735.0,18.7,6.5,56.6,25.4,17.81837003742667,16.341991341991342,70.85201793721974,43.4,60.436137071651096,37.43410763946356,3,Needs Improvement,-1.7247996751052446,Lowest 20%
02601,16066,62989.0,27.7,3.6,60.9,20.2,18.373134196299805,26.08225108225108,83.85650224215246,39.1,68.53582554517133,42.55872932258534,3,Needs Improvement,-1.2598615984907857,Lowest 20%
